"customer_id","first_name","last_name","gender","city","region","occupation","account_type","income_band","account_status","transaction_count","total_transaction_value","platform_revenue","average_transaction_value","last_transaction_date","customer_value_segment","activity_segment"
"CUST000956","Noor","Malik","Female","Hyderabad","South","Salaried","Digital Wallet","Lower-Middle","Active","115","1757445.62","11784.16","15282.14","2025-12-31","VIP","Very Active"
"CUST006498","Ahmed","Aslam","Female","Sialkot","Central","Business Owner","Savings Account","Lower-Middle","Active","133","1756251.22","11072.86","13204.90","2025-12-27","VIP","Very Active"
"CUST005087","Sana","Malik","Male","Sukkur","South","Salaried","Digital Wallet","Middle","Active","136","1738701.87","11989.56","12784.57","2025-12-31","VIP","Very Active"
"CUST000175","Omar","Shah","Male","Peshawar","North","Freelancer","Savings Account","Middle","Active","91","1725740.10","11762.59","18964.18","2025-12-16","VIP","Active"
"CUST006144","Danish","Khan","Male","Faisalabad","Central","Retired","Savings Account","Middle","Active","121","1703302.61","11583.21","14076.88","2025-12-23","VIP","Very Active"
"CUST011549","Saad","Malik","Male","Abbottabad","North","Self-Employed","Current Account","Middle","Active","110","1694581.30","10525.77","15405.28","2025-12-30","VIP","Very Active"
"CUST007348","Maryam","Ahmed","Male","Sialkot","Central","Salaried","Current Account","Middle","Active","135","1683714.55","11707.39","12471.96","2025-12-31","VIP","Very Active"
"CUST008149","Danish","Mirza","Male","Karachi","South","Self-Employed","Savings Account","Low","Active","114","1663713.76","11600.41","14593.98","2025-12-10","VIP","Very Active"
"CUST006913","Hassan","Siddiqui","Male","Sukkur","South","Freelancer","Current Account","Lower-Middle","Active","119","1643870.38","11401.42","13814.04","2025-12-25","VIP","Very Active"
"CUST009530","Saad","Siddiqui","Male","Abbottabad","North","Salaried","Savings Account","High","Active","116","1643482.99","10025.34","14167.96","2025-12-30","VIP","Very Active"
"CUST002324","Hamza","Mirza","Male","Islamabad","North","Student","Savings Account","Middle","Dormant","95","1637862.62","10209.29","17240.66","2025-12-27","VIP","Active"
"CUST004134","Hassan","Javed","Female","Faisalabad","Central","Salaried","Digital Wallet","Middle","Active","128","1631608.57","11550.62","12746.94","2025-12-22","VIP","Very Active"
"CUST001921","Saad","Aslam","Female","Lahore","Central","Salaried","Current Account","Upper-Middle","Active","103","1630124.20","9698.43","15826.45","2025-12-31","VIP","Very Active"
"CUST006046","Hassan","Khan","Female","Faisalabad","Central","Self-Employed","Premium Account","Low","Active","111","1623225.00","11185.19","14623.65","2025-12-20","VIP","Very Active"
"CUST001807","Hassan","Khan","Female","Peshawar","North","Salaried","Savings Account","Lower-Middle","Closed","90","1568742.90","10075.41","17430.48","2025-12-30","VIP","Active"
"CUST005581","Fatima","Javed","Male","Karachi","South","Business Owner","Current Account","Lower-Middle","Closed","124","1539719.00","10985.78","12417.09","2025-12-29","VIP","Very Active"
"CUST009507","Ali","Ahmed","Male","Faisalabad","Central","Salaried","Savings Account","Upper-Middle","Dormant","117","1538895.11","10366.13","13152.95","2025-12-31","VIP","Very Active"
"CUST001989","Hira","Shah","Male","Quetta","West","Freelancer","Current Account","Middle","Active","137","1525273.80","10400.50","11133.39","2025-12-17","VIP","Very Active"
"CUST010143","Maryam","Hussain","Male","Faisalabad","Central","Salaried","Digital Wallet","Middle","Active","101","1520090.39","9257.53","15050.40","2025-12-24","VIP","Very Active"
"CUST007291","Danish","Qureshi","Female","Lahore","Central","Student","Savings Account","Lower-Middle","Active","100","1517986.84","10273.37","15179.87","2025-12-26","VIP","Very Active"
"CUST002449","Iqra","Hussain","Male","Faisalabad","Central","Student","Digital Wallet","Lower-Middle","Active","101","1515552.51","9760.48","15005.47","2025-12-23","VIP","Very Active"
"CUST002816","Hamza","Siddiqui","Female","Sialkot","Central","Salaried","Savings Account","Lower-Middle","Active","103","1501762.68","9315.73","14580.22","2025-12-21","VIP","Very Active"
"CUST003417","Ayesha","Iqbal","Male","Faisalabad","Central","Freelancer","Current Account","Middle","Active","105","1500756.20","9736.70","14292.92","2025-12-31","VIP","Very Active"
"CUST010730","Zainab","Butt","Female","Sukkur","South","Student","Digital Wallet","Middle","Active","121","1495855.66","10360.53","12362.44","2025-12-30","VIP","Very Active"
"CUST003317","Talha","Raza","Male","Sukkur","South","Salaried","Current Account","Upper-Middle","Dormant","99","1494445.73","9620.58","15095.41","2025-12-30","VIP","Active"
"CUST000823","Talha","Ahmed","Male","Islamabad","North","Student","Premium Account","Upper-Middle","Active","111","1488077.42","10759.29","13406.10","2025-12-17","VIP","Very Active"
"CUST009879","Hira","Khan","Male","Peshawar","North","Salaried","Digital Wallet","Low","Dormant","82","1486009.37","8504.55","18122.07","2025-12-24","VIP","Active"
"CUST010997","Sara","Aslam","Male","Gujranwala","Central","Salaried","Current Account","Upper-Middle","Active","94","1477104.52","9501.25","15713.88","2025-12-21","VIP","Active"
"CUST002097","Maryam","Raza","Female","Peshawar","North","Freelancer","Savings Account","Middle","Active","94","1469433.36","10840.76","15632.27","2025-12-27","VIP","Active"
"CUST004403","Ayesha","Butt","Male","Peshawar","North","Salaried","Savings Account","Low","Active","97","1468317.96","9216.10","15137.30","2025-12-30","VIP","Active"
"CUST005681","Ahmed","Sheikh","Male","Hyderabad","South","Salaried","Savings Account","Upper-Middle","Active","88","1463587.46","9163.87","16631.68","2025-12-17","VIP","Active"
"CUST004565","Usman","Qureshi","Male","Peshawar","North","Student","Digital Wallet","Low","Active","90","1463201.74","9345.89","16257.80","2025-12-18","VIP","Active"
"CUST009751","Sara","Shah","Male","Gwadar","West","Self-Employed","Current Account","Middle","Dormant","75","1456849.24","7847.40","19424.66","2025-12-26","VIP","Active"
"CUST006160","Saad","Hussain","Male","Quetta","West","Business Owner","Digital Wallet","Low","Active","101","1450678.02","9931.15","14363.15","2025-12-25","VIP","Very Active"
"CUST002745","Noor","Mirza","Male","Sialkot","Central","Student","Digital Wallet","Lower-Middle","Active","110","1443070.94","9496.80","13118.83","2025-12-23","VIP","Very Active"
"CUST005273","Ahmed","Qureshi","Female","Sukkur","South","Freelancer","Savings Account","Middle","Active","97","1442403.41","8379.35","14870.14","2025-12-15","VIP","Active"
"CUST006554","Fatima","Hussain","Male","Islamabad","North","Student","Current Account","Lower-Middle","Dormant","85","1435322.38","9404.32","16886.15","2025-12-21","VIP","Active"
"CUST003750","Fatima","Qureshi","Male","Peshawar","North","Student","Current Account","Low","Active","79","1429486.61","9939.54","18094.77","2025-12-21","VIP","Active"
"CUST004205","Ahmed","Sheikh","Female","Hyderabad","South","Salaried","Current Account","Upper-Middle","Active","77","1420883.56","8885.43","18453.03","2025-12-31","VIP","Active"
"CUST000973","Hira","Butt","Female","Abbottabad","North","Salaried","Digital Wallet","Lower-Middle","Active","90","1390547.40","8414.02","15450.53","2025-12-31","VIP","Active"
"CUST007863","Sana","Khan","Male","Peshawar","North","Salaried","Premium Account","Upper-Middle","Active","102","1384498.72","8497.79","13573.52","2025-12-14","VIP","Very Active"
"CUST009541","Ayesha","Qureshi","Male","Dera Ismail Khan","West","Business Owner","Digital Wallet","Middle","Active","96","1362168.04","8855.57","14189.25","2025-12-27","VIP","Active"
"CUST006294","Sara","Raza","Male","Dera Ismail Khan","West","Salaried","Digital Wallet","Lower-Middle","Active","90","1360414.41","9128.53","15115.72","2025-12-31","VIP","Active"
"CUST009817","Sara","Shah","Male","Abbottabad","North","Retired","Digital Wallet","Upper-Middle","Active","78","1358323.96","8939.43","17414.41","2025-12-03","VIP","Active"
"CUST008769","Hassan","Sheikh","Male","Lahore","Central","Self-Employed","Savings Account","Low","Dormant","87","1348900.32","8636.03","15504.60","2025-12-24","VIP","Active"
"CUST006659","Zainab","Shah","Male","Sukkur","South","Business Owner","Digital Wallet","Lower-Middle","Active","80","1337552.74","9809.52","16719.41","2025-12-29","VIP","Active"
"CUST006108","Sana","Shah","Female","Peshawar","North","Self-Employed","Savings Account","Low","Active","97","1333241.03","8045.60","13744.75","2025-12-27","VIP","Active"
"CUST011347","Hira","Qureshi","Female","Sukkur","South","Self-Employed","Digital Wallet","Lower-Middle","Closed","95","1332626.95","8335.99","14027.65","2025-12-27","VIP","Active"
"CUST006839","Omar","Raza","Male","Quetta","West","Self-Employed","Savings Account","Lower-Middle","Active","107","1320164.95","8753.66","12337.99","2025-12-20","VIP","Very Active"
"CUST002461","Ayesha","Raza","Female","Sukkur","South","Salaried","Premium Account","Upper-Middle","Active","66","1319673.19","7290.61","19995.05","2025-12-27","VIP","Active"
"CUST001957","Talha","Mirza","Male","Lahore","Central","Salaried","Current Account","Lower-Middle","Active","84","1315485.48","8921.14","15660.54","2025-12-27","VIP","Active"
"CUST004069","Ayesha","Ahmed","Female","Dera Ismail Khan","West","Business Owner","Digital Wallet","Lower-Middle","Active","98","1314085.30","9122.29","13409.03","2025-12-23","VIP","Active"
"CUST008633","Talha","Butt","Male","Peshawar","North","Retired","Savings Account","Middle","Dormant","93","1305475.30","8829.82","14037.37","2025-12-19","VIP","Active"
"CUST007532","Maham","Malik","Female","Rawalpindi","North","Self-Employed","Digital Wallet","Middle","Active","72","1305285.12","7771.45","18128.96","2025-12-06","VIP","Active"
"CUST009598","Danish","Khan","Male","Gujranwala","Central","Student","Current Account","Lower-Middle","Active","73","1305189.81","7412.18","17879.31","2025-12-27","VIP","Active"
"CUST006611","Bilal","Farooq","Female","Hyderabad","South","Salaried","Current Account","Middle","Dormant","58","1301294.55","6895.82","22436.11","2025-12-23","VIP","Active"
"CUST009715","Maryam","Javed","Male","Abbottabad","North","Salaried","Current Account","Upper-Middle","Active","93","1301096.86","9032.50","13990.29","2025-12-28","VIP","Active"
"CUST002050","Ahmed","Khan","Female","Lahore","Central","Business Owner","Digital Wallet","Upper-Middle","Active","87","1295329.36","8886.56","14888.84","2025-12-31","VIP","Active"
"CUST002832","Zainab","Butt","Male","Gujranwala","Central","Business Owner","Savings Account","Upper-Middle","Active","66","1294044.05","7077.97","19606.73","2025-12-27","VIP","Active"
"CUST007012","Saad","Siddiqui","Female","Dera Ismail Khan","West","Freelancer","Digital Wallet","Upper-Middle","Active","111","1292269.36","9496.59","11642.07","2025-12-26","VIP","Very Active"
"CUST001735","Usman","Qureshi","Male","Sukkur","South","Salaried","Current Account","Middle","Active","98","1290539.96","7952.41","13168.78","2025-12-28","VIP","Active"
"CUST003306","Talha","Mirza","Male","Islamabad","North","Freelancer","Digital Wallet","Upper-Middle","Active","102","1284250.57","9341.08","12590.69","2025-12-30","VIP","Very Active"
"CUST009499","Danish","Khan","Female","Gwadar","West","Freelancer","Savings Account","Middle","Active","90","1272956.89","9412.44","14143.97","2025-12-30","VIP","Active"
"CUST002644","Maryam","Mirza","Female","Karachi","South","Salaried","Digital Wallet","High","Dormant","51","1260289.80","7970.62","24711.56","2025-12-29","VIP","Active"
"CUST011343","Ahmed","Iqbal","Female","Gujranwala","Central","Business Owner","Digital Wallet","Low","Active","66","1254327.25","6894.29","19004.96","2025-12-26","VIP","Active"
"CUST011098","Ahmed","Shah","Male","Hyderabad","South","Freelancer","Current Account","Low","Active","92","1254036.01","7598.40","13630.83","2025-12-29","VIP","Active"
"CUST007039","Ayesha","Malik","Female","Hyderabad","South","Freelancer","Savings Account","Low","Active","102","1245503.43","8774.79","12210.82","2025-12-25","VIP","Very Active"
"CUST011485","Zainab","Ahmed","Male","Peshawar","North","Freelancer","Digital Wallet","Lower-Middle","Closed","74","1245284.49","8563.50","16828.17","2025-12-29","VIP","Active"
"CUST001722","Ali","Aslam","Female","Peshawar","North","Self-Employed","Savings Account","Upper-Middle","Active","78","1237442.17","7867.24","15864.64","2025-12-21","VIP","Active"
"CUST009386","Maryam","Malik","Male","Sialkot","Central","Self-Employed","Current Account","Lower-Middle","Active","92","1235729.83","8285.42","13431.85","2025-12-31","VIP","Active"
"CUST000335","Noor","Mirza","Female","Abbottabad","North","Self-Employed","Savings Account","Lower-Middle","Closed","74","1230502.50","9032.57","16628.41","2025-12-31","VIP","Active"
"CUST006529","Ayesha","Ahmed","Female","Gujranwala","Central","Salaried","Savings Account","Upper-Middle","Active","103","1229519.97","8150.61","11937.09","2025-12-28","VIP","Very Active"
"CUST010084","Ayesha","Sheikh","Male","Dera Ismail Khan","West","Business Owner","Current Account","Middle","Active","89","1226403.43","8425.53","13779.81","2025-12-25","VIP","Active"
"CUST005183","Danish","Ahmed","Male","Rawalpindi","North","Salaried","Premium Account","Upper-Middle","Active","82","1225693.24","7103.14","14947.48","2025-12-14","VIP","Active"
"CUST005371","Ayesha","Ahmed","Male","Rawalpindi","North","Salaried","Savings Account","High","Active","87","1220662.67","7857.80","14030.61","2025-12-25","VIP","Active"
"CUST005974","Omar","Aslam","Female","Dera Ismail Khan","West","Student","Savings Account","Lower-Middle","Active","54","1219501.35","6795.05","22583.36","2025-12-29","VIP","Active"
"CUST010230","Fatima","Ahmed","Female","Gujranwala","Central","Self-Employed","Current Account","Upper-Middle","Active","72","1218668.77","7665.96","16925.96","2025-12-10","VIP","Active"
"CUST008001","Hira","Mirza","Female","Sialkot","Central","Self-Employed","Premium Account","High","Active","72","1210284.80","8267.17","16809.51","2025-12-21","VIP","Active"
"CUST008711","Talha","Raza","Male","Hyderabad","South","Salaried","Savings Account","Lower-Middle","Active","84","1203056.19","8130.47","14322.10","2025-12-16","VIP","Active"
"CUST004075","Maham","Malik","Male","Abbottabad","North","Student","Digital Wallet","Upper-Middle","Closed","61","1201056.02","7550.65","19689.44","2025-12-24","VIP","Active"
"CUST010175","Iqra","Iqbal","Female","Islamabad","North","Salaried","Digital Wallet","Lower-Middle","Active","72","1200541.69","7347.20","16674.19","2025-12-23","VIP","Active"
"CUST002127","Usman","Sheikh","Female","Sialkot","Central","Self-Employed","Digital Wallet","Lower-Middle","Active","79","1199123.61","8683.54","15178.78","2025-12-13","VIP","Active"
"CUST011850","Saad","Shah","Male","Abbottabad","North","Self-Employed","Digital Wallet","Middle","Active","59","1189769.57","8018.81","20165.59","2025-12-08","VIP","Active"
"CUST005179","Ali","Raza","Female","Lahore","Central","Salaried","Digital Wallet","Upper-Middle","Active","78","1189571.54","7758.91","15250.92","2025-12-28","VIP","Active"
"CUST008307","Maryam","Butt","Female","Hyderabad","South","Self-Employed","Current Account","Upper-Middle","Active","40","1188638.10","5967.75","29715.95","2025-12-30","VIP","Moderately Active"
"CUST004206","Hira","Iqbal","Male","Sukkur","South","Salaried","Premium Account","Middle","Active","79","1184464.19","7888.66","14993.22","2025-12-06","VIP","Active"
"CUST006344","Ayesha","Javed","Female","Sialkot","Central","Salaried","Digital Wallet","Upper-Middle","Active","77","1184147.79","8598.95","15378.54","2025-12-27","VIP","Active"
"CUST007029","Danish","Aslam","Female","Sialkot","Central","Retired","Current Account","Upper-Middle","Active","68","1184012.35","8664.59","17411.95","2025-12-25","VIP","Active"
"CUST008394","Maham","Farooq","Female","Hyderabad","South","Salaried","Digital Wallet","Lower-Middle","Active","79","1183763.99","7967.80","14984.35","2025-12-13","VIP","Active"
"CUST007529","Fatima","Siddiqui","Male","Sialkot","Central","Self-Employed","Current Account","Low","Active","80","1183161.78","7779.32","14789.52","2025-12-20","VIP","Active"
"CUST008553","Noor","Siddiqui","Female","Karachi","South","Salaried","Savings Account","Middle","Active","63","1182650.11","7373.67","18772.22","2025-12-26","VIP","Active"
"CUST008466","Hassan","Raza","Female","Lahore","Central","Student","Savings Account","Middle","Active","79","1182458.81","8522.03","14967.83","2025-12-12","VIP","Active"
"CUST007331","Bilal","Khan","Female","Rawalpindi","North","Salaried","Digital Wallet","Upper-Middle","Active","69","1181325.77","6836.31","17120.66","2025-12-30","VIP","Active"
"CUST005459","Fatima","Siddiqui","Female","Islamabad","North","Self-Employed","Savings Account","Upper-Middle","Active","98","1178822.80","8066.63","12028.80","2025-12-27","VIP","Active"
"CUST002365","Maryam","Sheikh","Male","Karachi","South","Freelancer","Savings Account","Upper-Middle","Active","70","1167721.77","6362.32","16681.74","2025-12-04","VIP","Active"
"CUST004557","Noor","Raza","Female","Sukkur","South","Salaried","Current Account","High","Active","86","1166282.22","7729.39","13561.42","2025-12-25","VIP","Active"
"CUST010729","Ahmed","Farooq","Male","Hyderabad","South","Business Owner","Premium Account","Upper-Middle","Active","65","1159697.30","6863.07","17841.50","2025-12-31","VIP","Active"
"CUST008852","Hamza","Raza","Male","Islamabad","North","Retired","Digital Wallet","Middle","Active","82","1158275.55","7330.30","14125.31","2025-12-29","VIP","Active"
"CUST004498","Ali","Sheikh","Female","Lahore","Central","Business Owner","Current Account","Lower-Middle","Active","80","1155298.79","8264.07","14441.23","2025-12-06","VIP","Active"
"CUST007317","Ayesha","Siddiqui","Male","Sukkur","South","Salaried","Digital Wallet","Upper-Middle","Closed","65","1151447.99","6968.45","17714.58","2025-11-30","VIP","Active"
"CUST010789","Omar","Qureshi","Female","Islamabad","North","Retired","Savings Account","Lower-Middle","Active","59","1151223.25","7081.72","19512.26","2025-12-25","VIP","Active"
"CUST011395","Talha","Aslam","Female","Karachi","South","Salaried","Current Account","Upper-Middle","Active","78","1149158.88","7918.60","14732.81","2025-12-24","VIP","Active"
"CUST007717","Saad","Khan","Female","Lahore","Central","Freelancer","Savings Account","Upper-Middle","Active","85","1148816.73","8009.20","13515.49","2025-12-26","VIP","Active"
"CUST008146","Maryam","Qureshi","Male","Gujranwala","Central","Business Owner","Savings Account","Middle","Active","87","1146254.67","8284.86","13175.34","2025-12-30","VIP","Active"
"CUST005335","Hamza","Farooq","Male","Faisalabad","Central","Retired","Digital Wallet","Upper-Middle","Dormant","81","1146013.08","6886.39","14148.31","2025-10-06","VIP","Active"
"CUST000994","Ahmed","Sheikh","Male","Rawalpindi","North","Self-Employed","Current Account","Upper-Middle","Active","85","1142168.18","8369.79","13437.27","2025-12-28","VIP","Active"
"CUST001927","Ali","Ahmed","Male","Lahore","Central","Freelancer","Digital Wallet","Low","Dormant","91","1141981.56","8444.04","12549.25","2025-12-28","VIP","Active"
"CUST009730","Danish","Malik","Female","Dera Ismail Khan","West","Self-Employed","Savings Account","Middle","Active","86","1140301.27","7703.46","13259.32","2025-12-28","VIP","Active"
"CUST006520","Sara","Butt","Female","Islamabad","North","Freelancer","Savings Account","Upper-Middle","Active","89","1139946.08","8188.65","12808.38","2025-12-05","VIP","Active"
"CUST010526","Danish","Iqbal","Male","Lahore","Central","Student","Digital Wallet","Middle","Active","65","1138431.94","7605.73","17514.34","2025-12-29","VIP","Active"
"CUST011434","Maham","Siddiqui","Female","Hyderabad","South","Salaried","Current Account","Upper-Middle","Active","66","1136794.15","7394.28","17224.15","2025-12-26","VIP","Active"
"CUST002711","Ahmed","Siddiqui","Female","Quetta","West","Retired","Savings Account","Lower-Middle","Active","94","1136629.30","7221.69","12091.80","2025-12-30","VIP","Active"
"CUST003221","Hira","Khan","Male","Abbottabad","North","Business Owner","Savings Account","Middle","Active","67","1131696.46","7168.51","16890.99","2025-12-22","VIP","Active"
"CUST006584","Ayesha","Sheikh","Male","Islamabad","North","Salaried","Savings Account","Middle","Active","91","1116448.34","7903.53","12268.66","2025-12-29","VIP","Active"
"CUST004283","Maryam","Raza","Male","Lahore","Central","Retired","Savings Account","Low","Active","73","1115421.63","7869.13","15279.75","2025-12-03","VIP","Active"
"CUST008471","Hira","Butt","Male","Sialkot","Central","Salaried","Premium Account","Upper-Middle","Active","61","1108914.58","7306.55","18178.93","2025-12-20","VIP","Active"
"CUST007952","Sara","Butt","Female","Sialkot","Central","Business Owner","Premium Account","Upper-Middle","Active","57","1103260.53","7221.16","19355.45","2025-12-27","VIP","Active"
