customer_id,first_name,last_name,gender,date_of_birth,city,region,occupation,account_type,signup_date,income_band,account_status
CUST000025,Hamza,Qureshi,Male,2003-07-11,Sukkur,South,Salaried,Savings Account,2022-03-09,Middle,Active
CUST000026,Maham,Farooq,Male,2004-11-13,Abbottabad,North,Student,Current Account,2023-09-18,Low,Dormant
CUST000027,Ali,Hussain,Female,1998-01-05,Sialkot,Central,Salaried,Savings Account,2022-04-02,Middle,Closed
CUST000028,Maryam,Shah,Male,1972-02-14,Islamabad,North,Business Owner,Digital Wallet,2022-03-23,Middle,Active
CUST000029,Iqra,Iqbal,Female,1973-06-09,Peshawar,North,Student,Digital Wallet,2024-12-18,Middle,Dormant
CUST000030,Talha,Aslam,Male,1991-07-10,Hyderabad,South,Self-Employed,Current Account,2022-04-02,Low,Active
CUST000031,Sana,Ahmed,Female,1967-03-07,Hyderabad,South,Retired,Savings Account,2025-05-06,Lower-Middle,Active
CUST000032,Sara,Farooq,Male,2005-08-15,Quetta,West,Salaried,Savings Account,2024-03-30,Lower-Middle,Active
CUST000033,Maham,Sheikh,Male,2003-01-01,Gujranwala,Central,Business Owner,Savings Account,2023-10-23,Low,Active
CUST000034,Iqra,Butt,Male,1998-03-02,Faisalabad,Central,Freelancer,Digital Wallet,2025-06-11,Middle,Active
CUST000035,Ali,Farooq,Female,2004-06-06,Lahore,Central,Business Owner,Savings Account,2023-06-15,Low,Active
CUST000036,Hamza,Malik,Male,1974-01-16,Abbottabad,North,Business Owner,Current Account,2023-07-02,Lower-Middle,Active
CUST000037,Ali,Malik,Male,2001-08-07,Peshawar,North,Self-Employed,Digital Wallet,2023-07-16,Lower-Middle,Active
CUST000038,Hamza,Hussain,Male,1975-07-14,Sialkot,Central,Student,Current Account,2024-06-09,Middle,Active
CUST000039,Hamza,Javed,Male,1969-07-04,Abbottabad,North,Self-Employed,Digital Wallet,2025-03-05,Lower-Middle,Dormant
CUST000040,Ayesha,Sheikh,Female,1975-07-12,Karachi,South,Salaried,Savings Account,2024-01-13,High,Active
CUST000041,Sara,Ahmed,Female,1996-09-13,Faisalabad,Central,Salaried,Savings Account,2023-01-20,Upper-Middle,Active
CUST000042,Iqra,Qureshi,Male,2003-08-09,Karachi,South,Self-Employed,Savings Account,2025-05-03,Lower-Middle,Active
CUST000043,Maham,Mirza,Male,1990-08-02,Hyderabad,South,Salaried,Digital Wallet,2024-03-30,Middle,Active
CUST000044,Ali,Khan,Female,1975-03-17,Rawalpindi,North,Retired,Savings Account,2025-02-13,Middle,Active
CUST000045,Ahmed,Shah,Female,1989-09-06,Hyderabad,South,Business Owner,Savings Account,2023-08-15,Lower-Middle,Active
CUST000046,Ayesha,Iqbal,Male,1985-03-14,Karachi,South,Retired,Savings Account,2022-09-30,Middle,Active
CUST000047,Zainab,Raza,Female,1986-01-20,Faisalabad,Central,Student,Digital Wallet,2025-07-17,Middle,Active
CUST000048,Sana,Qureshi,Male,1979-12-03,Islamabad,North,Freelancer,Current Account,2024-07-16,Low,Active
CUST000049,Omar,Farooq,Male,1970-03-19,Hyderabad,South,Salaried,Current Account,2023-02-26,Lower-Middle,Active
CUST000050,Usman,Javed,Female,1979-02-11,Peshawar,North,Student,Savings Account,2025-03-06,Lower-Middle,Active
CUST000051,Hassan,Butt,Female,2001-04-14,Peshawar,North,Salaried,Savings Account,2022-01-13,Upper-Middle,Active
CUST000052,Zainab,Farooq,Male,1981-12-03,Peshawar,North,Salaried,Savings Account,2025-06-27,Middle,Active
CUST000053,Talha,Aslam,Female,1965-11-14,Sukkur,South,Salaried,Digital Wallet,2024-03-03,Lower-Middle,Active
CUST000054,Ahmed,Qureshi,Female,1979-09-11,Sukkur,South,Business Owner,Current Account,2024-03-18,Middle,Dormant
CUST000055,Ali,Khan,Female,1983-03-05,Karachi,South,Business Owner,Savings Account,2022-01-19,Middle,Closed
CUST000056,Ali,Raza,Female,1989-08-15,Hyderabad,South,Salaried,Digital Wallet,2022-08-29,Middle,Active
CUST000057,Hira,Hussain,Female,1991-10-18,Sialkot,Central,Freelancer,Savings Account,2024-09-13,Lower-Middle,Active
CUST000058,Saad,Qureshi,Male,1982-05-11,Gujranwala,Central,Freelancer,Digital Wallet,2024-02-04,Middle,Active
CUST000059,Sana,Hussain,Male,1970-04-18,Abbottabad,North,Freelancer,Premium Account,2022-06-24,Upper-Middle,Active
CUST000060,Sana,Ahmed,Male,1983-11-10,Peshawar,North,Business Owner,Premium Account,2024-06-30,Middle,Active
CUST000061,Hira,Malik,Female,1965-02-23,Hyderabad,South,Business Owner,Premium Account,2024-10-18,Low,Active
CUST000062,Ali,Malik,Male,1985-11-08,Lahore,Central,Self-Employed,Digital Wallet,2023-01-09,Lower-Middle,Active
CUST000063,Maham,Ahmed,Female,1983-06-22,Gujranwala,Central,Self-Employed,Savings Account,2024-08-01,Lower-Middle,Dormant
CUST000064,Omar,Iqbal,Male,1979-09-11,Hyderabad,South,Salaried,Digital Wallet,2025-08-25,Upper-Middle,Active
CUST000065,Sana,Farooq,Male,1992-05-16,Gujranwala,Central,Retired,Digital Wallet,2023-10-23,Middle,Dormant
CUST000066,Maryam,Khan,Male,1995-09-02,Faisalabad,Central,Business Owner,Current Account,2022-11-10,High,Active
CUST000067,Talha,Farooq,Male,1975-12-03,Lahore,Central,Self-Employed,Savings Account,2025-08-09,Lower-Middle,Active
CUST000068,Omar,Ahmed,Male,1985-06-27,Islamabad,North,Salaried,Digital Wallet,2025-06-01,Upper-Middle,Active
CUST000069,Saad,Khan,Male,1985-03-01,Rawalpindi,North,Self-Employed,Current Account,2023-09-18,Upper-Middle,Active
CUST000070,Fatima,Khan,Female,1985-01-15,Gujranwala,Central,Salaried,Savings Account,2023-08-06,High,Active
CUST000071,Sana,Mirza,Male,1981-12-13,Abbottabad,North,Student,Savings Account,2025-02-15,Lower-Middle,Dormant
CUST000072,Hira,Malik,Male,1973-12-18,Faisalabad,Central,Student,Digital Wallet,2022-01-01,High,Active
CUST000073,Saad,Ahmed,Male,1972-08-01,Hyderabad,South,Student,Digital Wallet,2023-03-04,Middle,Dormant
CUST000074,Danish,Aslam,Male,1966-01-05,Peshawar,North,Student,Digital Wallet,2024-01-14,Upper-Middle,Active
CUST000075,Omar,Siddiqui,Female,1967-11-10,Rawalpindi,North,Freelancer,Savings Account,2024-06-14,Lower-Middle,Active
CUST000076,Iqra,Iqbal,Female,1998-06-25,Peshawar,North,Salaried,Savings Account,2024-05-10,Lower-Middle,Active
CUST000077,Zainab,Mirza,Male,1967-03-10,Peshawar,North,Business Owner,Digital Wallet,2023-05-23,High,Active
CUST000078,Ahmed,Hussain,Male,2000-05-16,Sukkur,South,Business Owner,Current Account,2025-04-05,Upper-Middle,Active
CUST000079,Fatima,Qureshi,Male,2001-12-16,Faisalabad,Central,Retired,Current Account,2024-06-08,Upper-Middle,Active
CUST000080,Sara,Hussain,Female,1974-10-12,Hyderabad,South,Self-Employed,Digital Wallet,2024-01-11,Lower-Middle,Active
CUST000081,Danish,Iqbal,Male,1983-08-23,Hyderabad,South,Salaried,Digital Wallet,2025-07-09,Middle,Active
CUST000082,Hira,Aslam,Female,1979-09-20,Lahore,Central,Salaried,Current Account,2022-05-09,Middle,Active
CUST000083,Ali,Siddiqui,Male,1981-11-12,Sukkur,South,Retired,Premium Account,2024-08-29,Lower-Middle,Active
CUST000084,Omar,Shah,Female,1979-08-09,Abbottabad,North,Salaried,Current Account,2025-06-22,Low,Active
CUST000085,Talha,Siddiqui,Male,1979-04-08,Peshawar,North,Salaried,Current Account,2024-06-25,Lower-Middle,Active
CUST000086,Fatima,Iqbal,Male,1993-01-26,Abbottabad,North,Freelancer,Savings Account,2024-02-13,Lower-Middle,Active
CUST000087,Omar,Ahmed,Male,1981-02-04,Karachi,South,Freelancer,Current Account,2023-05-14,Middle,Closed
CUST000088,Iqra,Butt,Female,1972-03-05,Lahore,Central,Business Owner,Digital Wallet,2023-01-07,Low,Active
CUST000089,Ayesha,Khan,Female,1980-10-08,Peshawar,North,Salaried,Current Account,2024-01-18,Middle,Active
CUST000090,Noor,Sheikh,Female,2005-02-23,Lahore,Central,Self-Employed,Digital Wallet,2025-05-15,Middle,Active
CUST000091,Ali,Hussain,Male,2005-02-19,Islamabad,North,Salaried,Premium Account,2023-09-25,Middle,Dormant
CUST000092,Maham,Ahmed,Female,1967-12-27,Sukkur,South,Salaried,Premium Account,2022-06-15,Middle,Active
CUST000093,Ali,Javed,Male,1988-05-20,Gujranwala,Central,Self-Employed,Digital Wallet,2023-10-25,Low,Active
CUST000094,Usman,Shah,Female,2004-02-14,Sialkot,Central,Freelancer,Current Account,2022-05-14,Upper-Middle,Active
CUST000095,Hira,Qureshi,Female,1972-11-02,Peshawar,North,Salaried,Digital Wallet,2025-07-05,Lower-Middle,Active
CUST000096,Zainab,Siddiqui,Male,1967-12-24,Gujranwala,Central,Business Owner,Digital Wallet,2024-01-03,Middle,Dormant
CUST000097,Hassan,Mirza,Female,1973-07-19,Sialkot,Central,Salaried,Digital Wallet,2022-10-20,Upper-Middle,Active
CUST000098,Fatima,Javed,Female,1978-02-02,Peshawar,North,Salaried,Digital Wallet,2024-05-05,Middle,Active
CUST000099,Ayesha,Shah,Female,2003-08-27,Peshawar,North,Salaried,Savings Account,2024-01-07,Upper-Middle,Active
CUST000100,Ayesha,Iqbal,Male,1975-11-17,Dera Ismail Khan,West,Salaried,Current Account,2023-12-01,Upper-Middle,Active
CUST000101,Sana,Qureshi,Female,1978-12-17,Gwadar,West,Salaried,Savings Account,2024-03-21,High,Active
CUST000102,Danish,Raza,Male,1975-07-10,Hyderabad,South,Salaried,Premium Account,2025-06-25,Low,Active
CUST000103,Ahmed,Aslam,Male,1981-12-09,Peshawar,North,Salaried,Savings Account,2025-03-17,High,Active
CUST000104,Talha,Qureshi,Male,2005-10-10,Quetta,West,Self-Employed,Digital Wallet,2022-12-26,High,Closed
CUST000105,Ahmed,Javed,Male,1968-02-02,Karachi,South,Salaried,Current Account,2022-11-25,Low,Active
CUST000106,Talha,Siddiqui,Male,1983-08-13,Karachi,South,Salaried,Premium Account,2025-09-17,Lower-Middle,Active
CUST000107,Zainab,Iqbal,Female,1990-08-02,Lahore,Central,Student,Premium Account,2024-06-01,Middle,Active
CUST000108,Maryam,Javed,Male,1969-10-17,Rawalpindi,North,Student,Savings Account,2022-01-27,Upper-Middle,Dormant
CUST000109,Hamza,Siddiqui,Male,1966-07-06,Abbottabad,North,Self-Employed,Digital Wallet,2023-12-27,Middle,Active
CUST000110,Maham,Aslam,Female,2005-09-17,Dera Ismail Khan,West,Retired,Current Account,2022-06-12,Middle,Dormant
CUST000111,Maham,Iqbal,Male,1976-08-11,Faisalabad,Central,Salaried,Digital Wallet,2022-02-10,Low,Dormant
CUST000112,Saad,Qureshi,Female,1974-04-08,Peshawar,North,Student,Digital Wallet,2022-09-12,Upper-Middle,Active
CUST000113,Hira,Hussain,Female,1979-06-04,Islamabad,North,Self-Employed,Digital Wallet,2022-12-15,Middle,Active
CUST000114,Danish,Iqbal,Male,1967-12-11,Gujranwala,Central,Self-Employed,Savings Account,2022-04-19,Low,Active
CUST000115,Hassan,Aslam,Male,1971-11-02,Abbottabad,North,Salaried,Savings Account,2025-02-17,Upper-Middle,Active
CUST000116,Fatima,Iqbal,Male,1965-08-07,Sukkur,South,Salaried,Current Account,2023-08-23,Lower-Middle,Active
CUST000117,Saad,Ahmed,Female,1986-04-13,Sukkur,South,Business Owner,Premium Account,2024-01-26,Middle,Active
CUST000118,Hamza,Khan,Male,1983-03-18,Hyderabad,South,Salaried,Savings Account,2025-03-30,Upper-Middle,Active
CUST000119,Fatima,Butt,Male,1976-04-13,Gujranwala,Central,Freelancer,Current Account,2025-02-20,Middle,Dormant
CUST000120,Hassan,Sheikh,Female,2002-04-03,Sialkot,Central,Salaried,Savings Account,2025-01-28,Lower-Middle,Active
CUST000121,Hassan,Shah,Female,1977-12-20,Lahore,Central,Self-Employed,Digital Wallet,2022-09-26,High,Active
CUST000122,Sana,Hussain,Female,1965-07-12,Lahore,Central,Self-Employed,Current Account,2024-10-16,Low,Active
CUST000123,Saad,Aslam,Male,1969-05-17,Islamabad,North,Freelancer,Digital Wallet,2025-09-25,Upper-Middle,Active
CUST000124,Saad,Siddiqui,Female,1994-11-27,Sialkot,Central,Salaried,Premium Account,2022-01-11,Middle,Active
CUST000125,Sara,Mirza,Female,1986-05-02,Islamabad,North,Self-Employed,Digital Wallet,2025-04-03,Low,Active
CUST000126,Noor,Qureshi,Male,1975-10-27,Sialkot,Central,Business Owner,Digital Wallet,2025-03-31,Lower-Middle,Active
CUST000127,Iqra,Siddiqui,Female,1975-08-26,Gujranwala,Central,Salaried,Savings Account,2025-02-25,Low,Active
CUST000128,Zainab,Shah,Male,1973-04-14,Abbottabad,North,Business Owner,Premium Account,2023-06-27,Lower-Middle,Active
CUST000129,Bilal,Khan,Male,1982-12-01,Islamabad,North,Salaried,Savings Account,2022-09-30,Upper-Middle,Active
CUST000130,Bilal,Qureshi,Male,1993-09-07,Gujranwala,Central,Freelancer,Digital Wallet,2024-09-28,Lower-Middle,Active
CUST000131,Maryam,Ahmed,Male,1991-12-07,Islamabad,North,Freelancer,Premium Account,2024-05-02,Middle,Active
CUST000132,Iqra,Malik,Male,1995-01-16,Gwadar,West,Salaried,Digital Wallet,2024-09-22,Lower-Middle,Dormant
CUST000133,Danish,Butt,Male,1966-04-19,Sialkot,Central,Student,Digital Wallet,2022-12-17,Lower-Middle,Active
CUST000134,Sana,Iqbal,Male,1987-04-14,Lahore,Central,Salaried,Digital Wallet,2022-09-01,Lower-Middle,Closed
CUST000135,Zainab,Iqbal,Female,1996-09-10,Sialkot,Central,Freelancer,Digital Wallet,2025-05-19,High,Active
CUST000136,Usman,Qureshi,Male,1973-11-02,Abbottabad,North,Salaried,Savings Account,2023-12-07,Lower-Middle,Active
CUST000137,Ayesha,Aslam,Female,1988-02-26,Quetta,West,Self-Employed,Savings Account,2025-03-11,Middle,Active
CUST000138,Hassan,Khan,Male,1965-02-27,Lahore,Central,Freelancer,Savings Account,2025-06-21,Lower-Middle,Active
CUST000139,Ayesha,Raza,Male,2002-09-01,Sukkur,South,Salaried,Current Account,2023-09-21,Low,Active
CUST000140,Zainab,Raza,Male,1995-05-09,Peshawar,North,Freelancer,Savings Account,2022-12-27,Middle,Active
CUST000141,Sara,Shah,Female,1990-09-27,Faisalabad,Central,Business Owner,Savings Account,2025-05-11,Lower-Middle,Active
CUST000142,Hamza,Ahmed,Female,1989-01-11,Sialkot,Central,Self-Employed,Digital Wallet,2024-09-05,Upper-Middle,Active
CUST000143,Sara,Raza,Male,1992-07-17,Dera Ismail Khan,West,Salaried,Current Account,2024-06-30,High,Active
CUST000144,Saad,Malik,Male,1982-01-14,Lahore,Central,Business Owner,Premium Account,2025-08-04,Middle,Active
CUST000145,Sara,Hussain,Male,2004-12-18,Sialkot,Central,Business Owner,Digital Wallet,2022-12-04,Lower-Middle,Active
CUST000146,Danish,Iqbal,Male,1973-02-24,Rawalpindi,North,Self-Employed,Digital Wallet,2023-05-09,Middle,Active
CUST000147,Bilal,Iqbal,Male,1998-03-11,Faisalabad,Central,Self-Employed,Digital Wallet,2022-02-23,Upper-Middle,Active
CUST000148,Usman,Javed,Female,1996-02-22,Lahore,Central,Business Owner,Savings Account,2023-06-15,Middle,Active
CUST000149,Talha,Qureshi,Male,1999-03-13,Lahore,Central,Self-Employed,Digital Wallet,2023-09-04,Low,Active
CUST000150,Fatima,Raza,Female,1967-06-06,Peshawar,North,Student,Digital Wallet,2023-09-12,Low,Dormant
CUST000151,Hamza,Raza,Male,1983-08-03,Sukkur,South,Self-Employed,Current Account,2022-07-26,Low,Dormant
CUST000152,Bilal,Khan,Male,1991-11-20,Sukkur,South,Retired,Current Account,2025-01-12,Middle,Active
CUST000153,Fatima,Shah,Female,1990-11-17,Peshawar,North,Business Owner,Premium Account,2023-11-01,Lower-Middle,Active
CUST000154,Saad,Iqbal,Male,1993-02-24,Gujranwala,Central,Salaried,Current Account,2023-08-25,Lower-Middle,Active
CUST000155,Danish,Sheikh,Female,1991-06-07,Rawalpindi,North,Retired,Savings Account,2025-03-28,Middle,Closed
CUST000156,Omar,Shah,Male,1974-11-20,Sukkur,South,Retired,Current Account,2023-10-28,Middle,Closed
CUST000157,Fatima,Hussain,Male,1998-02-01,Islamabad,North,Retired,Savings Account,2025-05-06,Upper-Middle,Closed
CUST000158,Bilal,Mirza,Female,1984-09-04,Lahore,Central,Salaried,Current Account,2022-11-01,Middle,Active
CUST000159,Maryam,Sheikh,Male,2004-06-17,Hyderabad,South,Self-Employed,Digital Wallet,2025-03-10,Upper-Middle,Active
CUST000160,Noor,Aslam,Male,1986-03-15,Hyderabad,South,Salaried,Digital Wallet,2025-09-15,Low,Active
CUST000161,Maham,Raza,Male,1987-01-16,Rawalpindi,North,Freelancer,Digital Wallet,2024-10-24,Middle,Dormant
CUST000162,Sana,Javed,Male,1989-04-23,Dera Ismail Khan,West,Student,Digital Wallet,2025-05-06,Middle,Active
CUST000163,Bilal,Mirza,Male,2000-01-23,Rawalpindi,North,Salaried,Savings Account,2024-10-10,High,Active
CUST000164,Hira,Siddiqui,Female,2001-03-06,Abbottabad,North,Salaried,Savings Account,2024-04-01,Upper-Middle,Closed
CUST000165,Maryam,Raza,Male,1988-07-06,Lahore,Central,Freelancer,Digital Wallet,2024-11-11,Middle,Active
CUST000166,Iqra,Javed,Female,1987-10-15,Gujranwala,Central,Self-Employed,Digital Wallet,2025-08-08,Upper-Middle,Closed
CUST000167,Saad,Ahmed,Female,1967-07-26,Karachi,South,Business Owner,Digital Wallet,2024-04-08,Lower-Middle,Active
CUST000168,Hassan,Iqbal,Female,1967-09-19,Sukkur,South,Salaried,Current Account,2024-07-29,Upper-Middle,Closed
CUST000169,Noor,Aslam,Female,1995-01-04,Abbottabad,North,Salaried,Current Account,2022-04-19,Upper-Middle,Active
CUST000170,Hira,Siddiqui,Female,1979-04-18,Dera Ismail Khan,West,Self-Employed,Premium Account,2025-08-06,High,Active
CUST000171,Ahmed,Iqbal,Male,1982-08-10,Islamabad,North,Salaried,Premium Account,2024-11-30,Middle,Active
CUST000172,Sana,Sheikh,Male,1990-01-03,Faisalabad,Central,Salaried,Premium Account,2022-08-10,Middle,Dormant
CUST000173,Fatima,Sheikh,Female,1974-08-20,Islamabad,North,Self-Employed,Savings Account,2023-02-01,Lower-Middle,Active
CUST000174,Zainab,Sheikh,Male,1978-03-08,Gwadar,West,Salaried,Savings Account,2022-11-05,Middle,Active
CUST000175,Omar,Shah,Male,1966-06-21,Peshawar,North,Freelancer,Savings Account,2023-03-14,Middle,Active
CUST000176,Talha,Mirza,Female,1996-08-15,Islamabad,North,Business Owner,Digital Wallet,2025-04-26,Low,Active
CUST000177,Ayesha,Ahmed,Male,1985-12-13,Lahore,Central,Salaried,Savings Account,2023-09-28,Upper-Middle,Active
CUST000178,Maham,Mirza,Male,1972-02-06,Quetta,West,Salaried,Current Account,2023-07-29,Upper-Middle,Active
CUST000179,Hira,Qureshi,Male,1989-07-08,Sukkur,South,Self-Employed,Current Account,2024-12-02,High,Active
CUST000180,Talha,Sheikh,Male,1970-07-10,Hyderabad,South,Self-Employed,Current Account,2023-05-24,Lower-Middle,Dormant
CUST000181,Zainab,Mirza,Male,1997-01-19,Karachi,South,Student,Digital Wallet,2025-04-27,Low,Active
CUST000182,Ahmed,Farooq,Female,1974-08-12,Hyderabad,South,Student,Savings Account,2024-10-29,Upper-Middle,Active
CUST000183,Iqra,Sheikh,Male,1976-01-01,Faisalabad,Central,Business Owner,Digital Wallet,2022-12-18,Lower-Middle,Active
CUST000184,Ali,Qureshi,Male,2000-09-01,Islamabad,North,Self-Employed,Digital Wallet,2024-05-12,Middle,Dormant
CUST000185,Hira,Sheikh,Male,1995-03-08,Hyderabad,South,Salaried,Savings Account,2023-10-23,Middle,Active
CUST000186,Omar,Butt,Male,1992-02-14,Karachi,South,Salaried,Savings Account,2023-04-17,Middle,Active
CUST000187,Fatima,Iqbal,Male,1989-01-09,Gujranwala,Central,Salaried,Premium Account,2025-05-25,Middle,Active
CUST000188,Sana,Butt,Male,1986-06-27,Rawalpindi,North,Self-Employed,Premium Account,2023-06-29,Low,Active
CUST000189,Hassan,Khan,Female,1972-03-07,Hyderabad,South,Salaried,Digital Wallet,2022-06-09,Lower-Middle,Active
CUST000190,Ahmed,Mirza,Male,1977-06-12,Rawalpindi,North,Salaried,Current Account,2023-07-14,High,Active
CUST000191,Danish,Ahmed,Male,2004-11-11,Quetta,West,Salaried,Digital Wallet,2023-12-09,Middle,Active
CUST000192,Bilal,Farooq,Female,2002-11-08,Rawalpindi,North,Freelancer,Current Account,2022-06-22,Lower-Middle,Active
CUST000193,Ayesha,Iqbal,Male,1994-10-24,Peshawar,North,Salaried,Savings Account,2024-10-13,Low,Active
CUST000194,Talha,Javed,Male,2001-06-07,Hyderabad,South,Business Owner,Premium Account,2022-11-11,Lower-Middle,Active
CUST000195,Maryam,Khan,Male,1997-02-01,Peshawar,North,Freelancer,Premium Account,2022-05-07,Lower-Middle,Active
CUST000196,Zainab,Iqbal,Male,1981-05-14,Islamabad,North,Freelancer,Current Account,2024-01-06,Middle,Active
CUST000197,Ali,Farooq,Male,1994-01-18,Lahore,Central,Freelancer,Current Account,2022-08-09,Middle,Active
CUST000198,Omar,Butt,Male,1995-02-13,Sukkur,South,Business Owner,Digital Wallet,2024-12-06,Low,Dormant
CUST000199,Hira,Sheikh,Male,1970-04-12,Rawalpindi,North,Salaried,Current Account,2022-04-04,Middle,Active
CUST000200,Ahmed,Raza,Male,2002-09-24,Peshawar,North,Self-Employed,Digital Wallet,2023-07-28,Low,Dormant
CUST000201,Zainab,Javed,Male,1985-10-11,Sukkur,South,Self-Employed,Current Account,2022-03-12,Middle,Active
CUST000202,Noor,Siddiqui,Female,1977-08-18,Quetta,West,Business Owner,Digital Wallet,2023-06-09,Low,Dormant
CUST000203,Omar,Butt,Male,1984-04-23,Faisalabad,Central,Self-Employed,Digital Wallet,2025-07-01,Lower-Middle,Active
CUST000204,Danish,Farooq,Male,1978-09-11,Rawalpindi,North,Salaried,Premium Account,2024-06-09,Low,Active
CUST000205,Danish,Qureshi,Female,1978-12-15,Abbottabad,North,Salaried,Digital Wallet,2024-01-03,Middle,Active
CUST000206,Maryam,Aslam,Female,1987-08-11,Rawalpindi,North,Self-Employed,Current Account,2022-08-04,Upper-Middle,Active
CUST000207,Saad,Butt,Male,2005-10-17,Rawalpindi,North,Freelancer,Savings Account,2023-03-05,Middle,Active
CUST000208,Hassan,Butt,Male,1981-11-15,Hyderabad,South,Student,Current Account,2023-06-06,Upper-Middle,Active
CUST000209,Sara,Qureshi,Female,1973-09-24,Islamabad,North,Salaried,Savings Account,2024-03-03,Low,Active
CUST000210,Hira,Iqbal,Female,1996-11-07,Sialkot,Central,Freelancer,Premium Account,2022-10-12,Lower-Middle,Active
CUST000211,Maryam,Mirza,Female,1977-04-05,Sukkur,South,Business Owner,Digital Wallet,2025-09-30,Lower-Middle,Closed
CUST000212,Ayesha,Sheikh,Female,1987-04-12,Sialkot,Central,Freelancer,Current Account,2024-06-11,Lower-Middle,Closed
CUST000213,Usman,Raza,Female,1975-03-17,Islamabad,North,Freelancer,Digital Wallet,2023-03-03,Middle,Closed
CUST000214,Danish,Raza,Male,1973-03-08,Sukkur,South,Business Owner,Premium Account,2022-06-03,Middle,Closed
CUST000215,Talha,Raza,Female,1975-07-27,Karachi,South,Freelancer,Digital Wallet,2024-03-25,Lower-Middle,Active
CUST000216,Noor,Farooq,Male,1979-12-14,Karachi,South,Self-Employed,Savings Account,2023-09-06,Lower-Middle,Active
CUST000217,Ali,Raza,Male,2004-03-22,Rawalpindi,North,Student,Savings Account,2024-07-11,Low,Dormant
CUST000218,Sana,Shah,Male,1992-09-15,Rawalpindi,North,Salaried,Savings Account,2024-03-27,Lower-Middle,Active
CUST000219,Talha,Javed,Female,1993-01-11,Quetta,West,Freelancer,Savings Account,2024-05-26,Middle,Active
CUST000220,Ayesha,Aslam,Male,1967-12-23,Lahore,Central,Student,Current Account,2025-02-15,Middle,Dormant
CUST000221,Hira,Sheikh,Female,1965-07-05,Abbottabad,North,Salaried,Savings Account,2023-12-20,Lower-Middle,Active
CUST000222,Ali,Sheikh,Female,1979-06-07,Gujranwala,Central,Business Owner,Digital Wallet,2024-09-18,High,Active
CUST000223,Zainab,Siddiqui,Male,2001-05-21,Karachi,South,Salaried,Digital Wallet,2023-05-07,Middle,Dormant
CUST000224,Noor,Siddiqui,Male,1965-12-25,Gwadar,West,Business Owner,Savings Account,2025-07-14,Lower-Middle,Active
